"title","year","rating","genre"
"Sinnui yauman III: Do Do Do",1991,7,"Action"
"Thunderpoint",1998,7,"Action"
"Navajo Blues",1996,3,"Action"
"Steel and Lace",1991,5.4,"Action"
"Joi gin a long",1999,6.6,"Action"
"Collectors, The",1999,3.8,"Action"
"Lawless Empire",1945,5.1,"Action"
"City on Fire",1979,3.4,"Action"
"Lost at Sea",1995,5.8,"Action"
"Last of the Finest, The",1990,5.2,"Action"
"Commander, Der",1988,5,"Action"
"Dark Side of the Moon, The",1990,4.3,"Action"
"Eger",2004,5,"Action"
"Point Blank",1967,7.4,"Action"
"Mask, The",1994,6.4,"Action"
"Fugitive, The",1993,7.7,"Action"
"Impatto mortale",1984,4,"Action"
"Operation Balikatan",2003,2.3,"Action"
"Electra Glide in Blue",1973,6.7,"Action"
"Best of the Best: Without Warning",1999,4.3,"Action"
"Swordsman, The",1993,3.5,"Action"
"Exit",1996,3.4,"Action"
"Abductors, The",1972,4,"Action"
"Malarek",1989,5.5,"Action"
"Dune",1984,6.3,"Action"
"Pentathlon",1994,3.8,"Action"
"Overkill",2004,8.1,"Action"
"Pork Chop Hill",1959,7.2,"Action"
"Blackhawk: Fearless Champion of Freedom",1952,7.4,"Action"
"She Devils in Chains",1976,2.7,"Action"
"A zori zdes tikhie",1972,8.6,"Action"
"Aurora: Operation Intercept",1995,2.7,"Action"
"Lobo Paramilitary Christmas Special, The",2002,3.5,"Action"
"Per un pugno di diamanti",1986,1.8,"Action"
"Ferocious Female Freedom Fighters",1982,4.9,"Action"
"Son of Ali Baba",1952,5.4,"Action"
"Action U.S.A.",1989,5,"Action"
"Yeshou xingjing",1998,6.7,"Action"
"Toad Warrior",1996,2.5,"Action"
"Star Wars: Episode VI - Return of the Jedi",1983,8.1,"Action"
"Absolute Force",1997,6.2,"Action"
"Battle at Elderbush Gulch, The",1913,7.1,"Action"
"Zombies of the Stratosphere",1952,4.4,"Action"
"Booby Trap",1970,3.1,"Action"
"That Darn Cat",1997,4.2,"Action"
"Freddy Vs. Jason",2003,6.1,"Action"
"Niata sti laspi",1984,4.5,"Action"
"Avalanche",1978,4,"Action"
"Riding the Edge",1989,3,"Action"
"W Is War",1986,5.4,"Action"
